alto-saxophone-bmaj-scale-2octs.csv
Instrument: Alto Saxophone
Transposition: -900 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,146.832385,B3+0.0,D3+0.0,5\12 0.0%, 123 B || 456 C,705734208_0_0_|_0.0:0.0_0.0:0.0,
note,164.813779,C#4+0.0,E3+0.0,7\12 0.0%, 123 C# || 456 C,705730112_0_0_|_0.0:0.0_0.0:0.0,
note,184.997212,Eb4+0.0,F#3+0.0,9\12 0.0%, 123 C# || 456 Eb,437294656_0_0_|_0.0:0.0_0.0:0.0,
note,195.997719,E4+0.0,G3+0.0,10\12 0.0%, 123 C# || 45-,34641472_0_0_|_0.0:0.0_0.0:0.0,
note,220.000001,F#4+0.0,A3+0.0,0\12 0.0%, 123 C# || -5-,33592896_0_0_|_0.0:0.0_0.0:0.0,
note,246.941651,Ab4+0.0,B3+0.0,2\12 0.0%, 123 C# | ---,5696_0_0_|_0.0:0.0_0.0:0.0,
note,277.182632,Bb4+0.0,C#4+0.0,4\12 0.0%, 12- | Bb ---,262720_0_0_|_0.0:0.0_0.0:0.0,
note,293.664768,B4+0.0,D4+0.0,5\12 0.0%, 1-- | ---,64_0_0_|_0.0:0.0_0.0:0.0,
note,329.627557,C#5+0.0,E4+0.0,7\12 0.0%, --- | ---,0_0_0_|_0.0:0.0_0.0:0.0,
note,369.994423,Eb5+0.0,F#4+0.0,9\12 0.0%, o 123 C# || 456 Eb,437294657_0_0_|_0.0:0.0_0.0:0.0,
note,391.995436,E5+0.0,G4+0.0,10\12 0.0%, o 123 C# || 45-,34641473_0_0_|_0.0:0.0_0.0:0.0,
note,440.0,F#5+0.0,A4+0.0,0\12 0.0%, o 123 C# || -5-,33592897_0_0_|_0.0:0.0_0.0:0.0,
note,493.883301,Ab5+0.0,B4+0.0,2\12 -0.0%, o 123 C# | ---,5697_0_0_|_0.0:0.0_0.0:0.0,
note,554.365262,Bb5+0.0,C#5+0.0,4\12 0.0%, o 12- | Bb ---,262721_0_0_|_0.0:0.0_0.0:0.0,
note,587.329536,B5+0.0,D5+0.0,5\12 0.0%, o 1-- | ---,65_0_0_|_0.0:0.0_0.0:0.0,
