alto-saxophone-abmaj-scale-2octs.csv
Instrument: Alto Saxophone
Transposition: -900 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,246.941651,Ab4+0.0,B3+0.0,2\12 0.0%, 1Bb23 G# | ---,3776_0_0_|_0.0:0.0_0.0:0.0,
note,277.182632,Bb4+0.0,C#4+0.0,4\12 0.0%, 1Bb-- | ---,192_0_0_|_0.0:0.0_0.0:0.0,
note,311.126985,C5+0.0,Eb4+0.0,6\12 0.0%, -2- | ---,512_0_0_|_0.0:0.0_0.0:0.0,
note,329.627557,C#5+0.0,E4+0.0,7\12 0.0%, --- | ---,0_0_0_|_0.0:0.0_0.0:0.0,
note,369.994423,Eb5+0.0,F#4+0.0,9\12 0.0%, o 1Bb23 | 456 Eb,437257921_0_0_|_0.0:0.0_0.0:0.0,
note,415.304698,F5+0.0,Ab4+0.0,11\12 0.0%, o 1Bb23 | 4--,1050305_0_0_|_0.0:0.0_0.0:0.0,
note,466.163762,G5+0.0,Bb4+0.0,1\12 0.0%, o 1Bb23 | ---,1729_0_0_|_0.0:0.0_0.0:0.0,
note,493.883301,Ab5+0.0,B4+0.0,2\12 -0.0%, o 1Bb23 G# | ---,3777_0_0_|_0.0:0.0_0.0:0.0,
note,554.365262,Bb5+0.0,C#5+0.0,4\12 0.0%, o 1Bb-- | ---,193_0_0_|_0.0:0.0_0.0:0.0,
note,622.253968,C6+0.0,Eb5+0.0,6\12 0.0%, o -2- | ---,513_0_0_|_0.0:0.0_0.0:0.0,
note,659.255114,C#6+0.0,E5+0.0,7\12 0.0%, o --- | ---,1_0_0_|_0.0:0.0_0.0:0.0,
note,739.988846,Eb6+0.0,F#5+0.0,9\12 0.0%, o eb d --- | ---,13_0_0_|_0.0:0.0_0.0:0.0,
note,830.609395,F6+0.0,Ab5+0.0,11\12 -0.0%, o f -2- | ---,545_0_0_|_0.0:0.0_0.0:0.0,
note,932.327523,G6+0.0,Bb5+0.0,1\12 -0.0%, o f --- | Bb 4--,1310753_0_0_|_0.0:0.0_0.0:0.0,
note,987.766602,Ab6+0.0,B5+0.0,2\12 -0.0%, o 123 | C Bb 4--,1443393_0_0_|_0.0:0.0_0.0:0.0,
