alto-recorder-standard.csv
Instrument: Alto Recorder
Transposition: 0 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $standard$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,349.228231,F4+0.0,F4+0.0,8\12 -0.0%, 0 123 | 4567,383_0_0_|_0.0:0.0_0.0:0.0,
note,369.994423,F#4+0.0,F#4+0.0,9\12 0.0%, 0 123 | 456-&h,639_0_0_|_0.0:0.0_0.0:0.0,
note,391.995436,G4+0.0,G4+0.0,10\12 0.0%, 0 123 | 456-,127_0_0_|_0.0:0.0_0.0:0.0,
note,415.304698,Ab4+0.0,Ab4+0.0,11\12 0.0%, 0 123 | 45-&h-,191_0_0_|_0.0:0.0_0.0:0.0,
note,440.0,A4+0.0,A4+0.0,0\12 0.0%, 0 123 | 45--,63_0_0_|_0.0:0.0_0.0:0.0,
note,466.163762,Bb4+0.0,Bb4+0.0,1\12 0.0%, 0 123 | 4-67,351_0_0_|_0.0:0.0_0.0:0.0,
note,493.883301,B4+0.0,B4+0.0,2\12 -0.0%, 0 123 | -56-,111_0_0_|_0.0:0.0_0.0:0.0,
note,523.251131,C5+0.0,C5+0.0,3\12 0.0%, 0 123 | ----,15_0_0_|_0.0:0.0_0.0:0.0,
note,554.365262,C#5+0.0,C#5+0.0,4\12 0.0%, 0 12- | 45-&h-,183_0_0_|_0.0:0.0_0.0:0.0,
note,587.329536,D5+0.0,D5+0.0,5\12 0.0%, 0 12- | ----,7_0_0_|_0.0:0.0_0.0:0.0,
note,622.253967,Eb5+0.0,Eb5+0.0,6\12 -0.0%, 0 1-3 | 4---,27_0_0_|_0.0:0.0_0.0:0.0,
note,659.255114,E5+0.0,E5+0.0,7\12 0.0%, 0 1-- | ----,3_0_0_|_0.0:0.0_0.0:0.0,
note,698.456463,F5+0.0,F5+0.0,8\12 0.0%, 0 -2- | ----,5_0_0_|_0.0:0.0_0.0:0.0,
note,739.988845,F#5+0.0,F#5+0.0,9\12 -0.0%, 12- | ----,6_0_0_|_0.0:0.0_0.0:0.0,
note,783.990872,G5+0.0,G5+0.0,10\12 0.0%, -2- | ----,4_0_0_|_0.0:0.0_0.0:0.0,
note,830.609395,Ab5+0.0,Ab5+0.0,11\12 -0.0%, -23 | 456-,124_0_0_|_0.0:0.0_0.0:0.0,
note,880.0,A5+0.0,A5+0.0,0\12 0.0%, h123 | 45--,63_1_0_|_0.0:0.0_0.0:0.0,
note,932.327523,Bb5+0.0,Bb5+0.0,1\12 -0.0%, h123 | 4-6-,95_1_0_|_0.0:0.0_0.0:0.0,
note,987.766603,B5+0.0,B5+0.0,2\12 0.0%, h123 | -5--,47_1_0_|_0.0:0.0_0.0:0.0,
note,1046.502261,C6+0.0,C6+0.0,3\12 -0.0%, h123 | ----,15_1_0_|_0.0:0.0_0.0:0.0,
note,1108.730524,C#6+0.0,C#6+0.0,4\12 0.0%, h12- | 4---,23_1_0_|_0.0:0.0_0.0:0.0,
note,1174.659072,D6+0.0,D6+0.0,5\12 0.0%, h12- | ----,7_1_0_|_0.0:0.0_0.0:0.0,
note,1244.507935,Eb6+0.0,Eb6+0.0,6\12 0.0%, h12- | -56-,103_1_0_|_0.0:0.0_0.0:0.0,
note,1318.510228,E6+0.0,E6+0.0,7\12 0.0%, h12- | 45--,55_1_0_|_0.0:0.0_0.0:0.0,
note,1396.912926,F6+0.0,F6+0.0,8\12 0.0%, h1-- | 45--,51_1_0_|_0.0:0.0_0.0:0.0,
note,1479.977691,F#6+0.0,F#6+0.0,9\12 0.0%, h1-3 | 45-7,315_1_0_|_0.0:0.0_0.0:0.0,
note,1567.981744,G6+0.0,G6+0.0,10\12 0.0%, h1-3 | 4-6-,91_1_0_|_0.0:0.0_0.0:0.0,
