flute-gmelmin-scale-2octs.csv
Instrument: Flute
Transposition: 0 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,391.995435,G4+0.0,G4+0.0,10\12 -0.0%, Bb 123 | --- Eb,65589_0_0_|_0.0:0.0_0.0:0.0,
note,440.0,A4+0.0,A4+0.0,0\12 0.0%, Bb 12- | --- Eb,65557_0_0_|_0.0:0.0_0.0:0.0,
note,466.163761,Bb4+0.0,Bb4+0.0,1\12 -0.0%, Bb 1-- | 4-- Eb,67589_0_0_|_0.0:0.0_0.0:0.0,
note,523.251131,C5+0.0,C5+0.0,3\12 0.0%, 1-- | --- Eb,65540_0_0_|_0.0:0.0_0.0:0.0,
note,587.329535,D5+0.0,D5+0.0,5\12 -0.0%, Bb -23 | 456,43057_0_0_|_0.0:0.0_0.0:0.0,
note,659.255113,E5+0.0,E5+0.0,7\12 -0.0%, Bb 123 | 45- Eb,75829_0_0_|_0.0:0.0_0.0:0.0,
note,739.988845,F#5+0.0,F#5+0.0,9\12 -0.0%, Bb 123 | -5- Eb,73781_0_0_|_0.0:0.0_0.0:0.0,
note,783.990872,G5+0.0,G5+0.0,10\12 0.0%, Bb 123 | --- Eb,65589_0_0_|_0.0:0.0_0.0:0.0,
note,879.999999,A5+0.0,A5+0.0,0\12 -0.0%, Bb 12- | --- Eb,65557_0_0_|_0.0:0.0_0.0:0.0,
note,932.327523,Bb5+0.0,Bb5+0.0,1\12 -0.0%, Bb 1-- | 4-- Eb,67589_0_0_|_0.0:0.0_0.0:0.0,
note,1046.502261,C6+0.0,C6+0.0,3\12 -0.0%, 1-- | --- Eb,65540_0_0_|_0.0:0.0_0.0:0.0,
note,1174.659072,D6+0.0,D6+0.0,5\12 0.0%, T -23 | --- Eb,65586_0_0_|_0.0:0.0_0.0:0.0,
note,1318.510228,E6+0.0,E6+0.0,7\12 0.0%, T 12- | 45- Eb,75798_0_0_|_0.0:0.0_0.0:0.0,
note,1479.977691,F#6+0.0,F#6+0.0,9\12 0.0%, T 1-3 | -5- Eb,73766_0_0_|_0.0:0.0_0.0:0.0,
note,1567.981744,G6+0.0,G6+0.0,10\12 0.0%, 123 | --- Eb,65588_0_0_|_0.0:0.0_0.0:0.0,
