trumpet-in-bb-dmin-scale-2octs.csv
Instrument: Trumpet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,261.625566,D4+0.0,C4+0.0,3\12 0.0%, 1-3 {0.25} {0.0} (3),5_0_0_3_0.25:0.0_0.0:0.0,
note,293.664769,E4+0.0,D4+0.0,5\12 0.0%, 12- {0.0} {0.0} (3),3_0_0_3_0.0:0.0_0.0:0.0,
note,311.126984,F4+0.0,Eb4+0.0,6\12 0.0%, 1-- {0.0} {0.0} (3),1_0_0_3_0.0:0.0_0.0:0.0,
note,349.228232,G4+0.0,F4+0.0,8\12 0.0%, --- {0.0} {0.0} (3),0_0_0_3_0.0:0.0_0.0:0.0,
note,391.995437,A4+0.0,G4+0.0,10\12 0.0%, 12- {0.0} {0.0} (4),3_0_0_4_0.0:0.0_0.0:0.0,
note,415.304699,Bb4+0.0,Ab4+0.0,11\12 0.0%, 1-- {0.0} {0.0} (4),1_0_0_4_0.0:0.0_0.0:0.0,
note,466.163763,C5+0.0,Bb4+0.0,1\12 0.0%, --- {0.0} {0.0} (4),0_0_0_4_0.0:0.0_0.0:0.0,
note,523.251133,D5+0.0,C5+0.0,3\12 0.0%, 1-- {0.0} {0.0} (5),1_0_0_5_0.0:0.0_0.0:0.0,
note,587.329538,E5+0.0,D5+0.0,5\12 0.0%, --- {0.0} {0.0} (5),0_0_0_5_0.0:0.0_0.0:0.0,
note,622.25397,F5+0.0,Eb5+0.0,6\12 0.0%, 1-- {0.0} {0.0} (6),1_0_0_6_0.0:0.0_0.0:0.0,
note,698.456466,G5+0.0,F5+0.0,8\12 0.0%, --- {0.0} {0.0} (6),0_0_0_6_0.0:0.0_0.0:0.0,
note,783.990875,A5+0.0,G5+0.0,10\12 0.0%, 12- {0.0} {0.0} (8),3_0_0_8_0.0:0.0_0.0:0.0,
note,830.609398,Bb5+0.0,Ab5+0.0,11\12 0.0%, 1-- {0.0} {0.0} (8),1_0_0_8_0.0:0.0_0.0:0.0,
note,932.327526,C6+0.0,Bb5+0.0,1\12 0.0%, --- {0.0} {0.0} (8),0_0_0_8_0.0:0.0_0.0:0.0,
note,1046.502265,D6+0.0,C6+0.0,3\12 0.0%, --- {0.0} {0.0} (9),0_0_0_9_0.0:0.0_0.0:0.0,
