alto-saxophone-dharmin-scale-2octs.csv
Instrument: Alto Saxophone
Transposition: -900 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,174.614116,D4+0.0,F3+0.0,8\12 0.0%, 1Bb23 | 456,168822464_0_0_|_0.0:0.0_0.0:0.0,
note,195.997718,E4+0.0,G3+0.0,10\12 0.0%, 1Bb23 | 45-,34604736_0_0_|_0.0:0.0_0.0:0.0,
note,207.652349,F4+0.0,Ab3+0.0,11\12 0.0%, 1Bb23 | 4--,1050304_0_0_|_0.0:0.0_0.0:0.0,
note,233.081881,G4+0.0,Bb3+0.0,1\12 0.0%, 1Bb23 | ---,1728_0_0_|_0.0:0.0_0.0:0.0,
note,261.625566,A4+0.0,C4+0.0,3\12 0.0%, 1Bb2- | ---,704_0_0_|_0.0:0.0_0.0:0.0,
note,277.182631,Bb4+0.0,C#4+0.0,4\12 0.0%, 1Bb-- | ---,192_0_0_|_0.0:0.0_0.0:0.0,
note,329.627557,C#5+0.0,E4+0.0,7\12 0.0%, --- | ---,0_0_0_|_0.0:0.0_0.0:0.0,
note,349.228232,D5+0.0,F4+0.0,8\12 0.0%, o 1Bb23 | 456,168822465_0_0_|_0.0:0.0_0.0:0.0,
note,391.995436,E5+0.0,G4+0.0,10\12 0.0%, o 1Bb23 | 45-,34604737_0_0_|_0.0:0.0_0.0:0.0,
note,415.304698,F5+0.0,Ab4+0.0,11\12 0.0%, o 1Bb23 | 4--,1050305_0_0_|_0.0:0.0_0.0:0.0,
note,466.163762,G5+0.0,Bb4+0.0,1\12 0.0%, o 1Bb23 | ---,1729_0_0_|_0.0:0.0_0.0:0.0,
note,523.251131,A5+0.0,C5+0.0,3\12 0.0%, o 1Bb2- | ---,705_0_0_|_0.0:0.0_0.0:0.0,
note,554.365262,Bb5+0.0,C#5+0.0,4\12 0.0%, o 1Bb-- | ---,193_0_0_|_0.0:0.0_0.0:0.0,
note,659.255114,C#6+0.0,E5+0.0,7\12 0.0%, o --- | ---,1_0_0_|_0.0:0.0_0.0:0.0,
note,698.456463,D6+0.0,F5+0.0,8\12 0.0%, o d --- | ---,9_0_0_|_0.0:0.0_0.0:0.0,
