alto-saxophone-ebharmin-scale-2octs.csv
Instrument: Alto Saxophone
Transposition: -900 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,184.997212,Eb4+0.0,F#3+0.0,9\12 0.0%, 123 G# || 456 Eb,437292608_0_0_|_0.0:0.0_0.0:0.0,
note,207.65235,F4+0.0,Ab3+0.0,11\12 0.0%, 123 G# || 4--,1084992_0_0_|_0.0:0.0_0.0:0.0,
note,220.000001,F#4+0.0,A3+0.0,0\12 0.0%, 123 G# || 4-F#-,68193856_0_0_|_0.0:0.0_0.0:0.0,
note,246.941651,Ab4+0.0,B3+0.0,2\12 0.0%, 123 G# | ---,3648_0_0_|_0.0:0.0_0.0:0.0,
note,277.182632,Bb4+0.0,C#4+0.0,4\12 0.0%, 12- | Bb ---,262720_0_0_|_0.0:0.0_0.0:0.0,
note,293.664768,B4+0.0,D4+0.0,5\12 0.0%, 1-- | ---,64_0_0_|_0.0:0.0_0.0:0.0,
note,349.228232,D5+0.0,F4+0.0,8\12 0.0%, o 123 G# || 456,168857153_0_0_|_0.0:0.0_0.0:0.0,
note,369.994423,Eb5+0.0,F#4+0.0,9\12 0.0%, o 123 G# || 456 Eb,437292609_0_0_|_0.0:0.0_0.0:0.0,
note,415.304698,F5+0.0,Ab4+0.0,11\12 0.0%, o 123 G# || 4--,1084993_0_0_|_0.0:0.0_0.0:0.0,
note,440.0,F#5+0.0,A4+0.0,0\12 0.0%, o 123 G# || 4-F#-,68193857_0_0_|_0.0:0.0_0.0:0.0,
note,493.883301,Ab5+0.0,B4+0.0,2\12 -0.0%, o 123 G# | ---,3649_0_0_|_0.0:0.0_0.0:0.0,
note,554.365262,Bb5+0.0,C#5+0.0,4\12 0.0%, o 12- | Bb ---,262721_0_0_|_0.0:0.0_0.0:0.0,
note,587.329536,B5+0.0,D5+0.0,5\12 0.0%, o 1-- | ---,65_0_0_|_0.0:0.0_0.0:0.0,
note,698.456463,D6+0.0,F5+0.0,8\12 0.0%, o d --- | ---,9_0_0_|_0.0:0.0_0.0:0.0,
note,739.988846,Eb6+0.0,F#5+0.0,9\12 0.0%, o eb d --- | ---,13_0_0_|_0.0:0.0_0.0:0.0,
