clarinet-in-bb-c#min-scale-2octs.csv
Instrument: Clarinet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,246.941649,C#4+0.0,B3+0.0,2\12 -0.0%, T 123 C# | ---,850_0_0_|_0.0:0.0_0.0:0.0,
note,277.18263,Eb4+0.0,C#4+0.0,4\12 -0.0%, T 12- | eb ---,131154_0_0_|_0.0:0.0_0.0:0.0,
note,293.664767,E4+0.0,D4+0.0,5\12 -0.0%, T 1-- | ---,18_0_0_|_0.0:0.0_0.0:0.0,
note,329.627556,F#4+0.0,E4+0.0,7\12 -0.0%, 1-- | ---,16_0_0_|_0.0:0.0_0.0:0.0,
note,369.994422,Ab4+0.0,F#4+0.0,9\12 -0.0%, G# --- | ---,4_0_0_|_0.0:0.0_0.0:0.0,
note,391.995434,A4+0.0,G4+0.0,10\12 -0.0%, A --- | ---,8_0_0_|_0.0:0.0_0.0:0.0,
note,439.999999,B4+0.0,A4+0.0,0\12 -0.0%, R T 123 | 456 E,72876371_0_0_|_0.0:0.0_0.0:0.0,
note,493.8833,C#5+0.0,B4+0.0,2\12 -0.0%, R T 123 F# | 456,5769555_0_0_|_0.0:0.0_0.0:0.0,
note,554.36526,Eb5+0.0,C#5+0.0,4\12 -0.0%, R T 123 | 456 Ab,14156115_0_0_|_0.0:0.0_0.0:0.0,
note,587.329534,E5+0.0,D5+0.0,5\12 -0.0%, R T 123 | 45-,1573203_0_0_|_0.0:0.0_0.0:0.0,
note,659.255112,F#5+0.0,E5+0.0,7\12 -0.0%, R T 123 | -5-,1048915_0_0_|_0.0:0.0_0.0:0.0,
note,739.988844,Ab5+0.0,F#5+0.0,9\12 -0.0%, R T 123 C# | ---,851_0_0_|_0.0:0.0_0.0:0.0,
note,783.99087,A5+0.0,G5+0.0,10\12 -0.0%, R T 12- | ---,83_0_0_|_0.0:0.0_0.0:0.0,
note,879.999998,B5+0.0,A5+0.0,0\12 -0.0%, R T 1-- | ---,19_0_0_|_0.0:0.0_0.0:0.0,
note,987.7666,C#6+0.0,B5+0.0,2\12 -0.0%, R T -23 | 45-,1573187_0_0_|_0.0:0.0_0.0:0.0,
