clarinet-in-bb-bbmin-scale-2octs.csv
Instrument: Clarinet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,207.652349,Bb3+0.0,Ab3+0.0,11\12 0.0%, T 123 | 4--,524626_0_0_|_0.0:0.0_0.0:0.0,
note,233.08188,C4+0.0,Bb3+0.0,1\12 -0.0%, T 123 | ---,338_0_0_|_0.0:0.0_0.0:0.0,
note,246.941649,C#4+0.0,B3+0.0,2\12 -0.0%, T 123 C# | ---,850_0_0_|_0.0:0.0_0.0:0.0,
note,277.18263,Eb4+0.0,C#4+0.0,4\12 -0.0%, T 12- | eb ---,131154_0_0_|_0.0:0.0_0.0:0.0,
note,311.126983,F4+0.0,Eb4+0.0,6\12 -0.0%, T --- | ---,2_0_0_|_0.0:0.0_0.0:0.0,
note,329.627556,F#4+0.0,E4+0.0,7\12 -0.0%, T --- | f# ---,65538_0_0_|_0.0:0.0_0.0:0.0,
note,369.994422,Ab4+0.0,F#4+0.0,9\12 -0.0%, G# --- | ---,4_0_0_|_0.0:0.0_0.0:0.0,
note,415.304696,Bb4+0.0,Ab4+0.0,11\12 -0.0%, R A --- | ---,9_0_0_|_0.0:0.0_0.0:0.0,
note,466.16376,C5+0.0,Bb4+0.0,1\12 -0.0%, R T 123 | 456 F,22544723_0_0_|_0.0:0.0_0.0:0.0,
note,493.8833,C#5+0.0,B4+0.0,2\12 -0.0%, R T 123 F# | 456,5769555_0_0_|_0.0:0.0_0.0:0.0,
note,554.36526,Eb5+0.0,C#5+0.0,4\12 -0.0%, R T 123 | 456 Ab,14156115_0_0_|_0.0:0.0_0.0:0.0,
note,622.253966,F5+0.0,Eb5+0.0,6\12 -0.0%, R T 123 | 4--,524627_0_0_|_0.0:0.0_0.0:0.0,
note,659.255112,F#5+0.0,E5+0.0,7\12 -0.0%, R T 123 | 4-B-,2621779_0_0_|_0.0:0.0_0.0:0.0,
note,739.988844,Ab5+0.0,F#5+0.0,9\12 -0.0%, R T 123 C# | ---,851_0_0_|_0.0:0.0_0.0:0.0,
note,830.609393,Bb5+0.0,Ab5+0.0,11\12 -0.0%, R T 12Eb- | ---,211_0_0_|_0.0:0.0_0.0:0.0,
