alto-saxophone-ebmelmin-scale-2octs.csv
Instrument: Alto Saxophone
Transposition: -900 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,184.997212,Eb4+0.0,F#3+0.0,9\12 0.0%, 1Bb23 G# || 456 Eb,437292736_0_0_|_0.0:0.0_0.0:0.0,
note,207.65235,F4+0.0,Ab3+0.0,11\12 0.0%, 1Bb23 G# || 4--,1085120_0_0_|_0.0:0.0_0.0:0.0,
note,220.000001,F#4+0.0,A3+0.0,0\12 0.0%, 1Bb23 G# || 4-F#-,68193984_0_0_|_0.0:0.0_0.0:0.0,
note,246.941651,Ab4+0.0,B3+0.0,2\12 0.0%, 1Bb23 G# | ---,3776_0_0_|_0.0:0.0_0.0:0.0,
note,277.182632,Bb4+0.0,C#4+0.0,4\12 0.0%, 1Bb-- | ---,192_0_0_|_0.0:0.0_0.0:0.0,
note,311.126984,C5+0.0,Eb4+0.0,6\12 0.0%, -2- | ---,512_0_0_|_0.0:0.0_0.0:0.0,
note,349.228232,D5+0.0,F4+0.0,8\12 0.0%, o 1Bb23 G# || 456,168857281_0_0_|_0.0:0.0_0.0:0.0,
note,369.994423,Eb5+0.0,F#4+0.0,9\12 0.0%, o 1Bb23 G# || 456 Eb,437292737_0_0_|_0.0:0.0_0.0:0.0,
note,415.304698,F5+0.0,Ab4+0.0,11\12 0.0%, o 1Bb23 G# || 4--,1085121_0_0_|_0.0:0.0_0.0:0.0,
note,440.0,F#5+0.0,A4+0.0,0\12 0.0%, o 1Bb23 G# || 4-F#-,68193985_0_0_|_0.0:0.0_0.0:0.0,
note,493.883301,Ab5+0.0,B4+0.0,2\12 -0.0%, o 1Bb23 G# | ---,3777_0_0_|_0.0:0.0_0.0:0.0,
note,554.365262,Bb5+0.0,C#5+0.0,4\12 0.0%, o 1Bb-- | ---,193_0_0_|_0.0:0.0_0.0:0.0,
note,622.253968,C6+0.0,Eb5+0.0,6\12 0.0%, o -2- | ---,513_0_0_|_0.0:0.0_0.0:0.0,
note,698.456463,D6+0.0,F5+0.0,8\12 0.0%, o d --- | ---,9_0_0_|_0.0:0.0_0.0:0.0,
note,739.988846,Eb6+0.0,F#5+0.0,9\12 0.0%, o eb d --- | ---,13_0_0_|_0.0:0.0_0.0:0.0,
