alto-saxophone-cmelmin-scale-2octs.csv
Instrument: Alto Saxophone
Transposition: -900 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,155.563492,C4+0.0,Eb3+0.0,6\12 0.0%, 123 | 456 C,705693248_0_0_|_0.0:0.0_0.0:0.0,
note,174.614116,D4+0.0,F3+0.0,8\12 0.0%, 123 | 456,168822336_0_0_|_0.0:0.0_0.0:0.0,
note,184.997212,Eb4+0.0,F#3+0.0,9\12 0.0%, 123 | 456 Eb,437257792_0_0_|_0.0:0.0_0.0:0.0,
note,207.652349,F4+0.0,Ab3+0.0,11\12 0.0%, 123 | 4--,1050176_0_0_|_0.0:0.0_0.0:0.0,
note,233.081881,G4+0.0,Bb3+0.0,1\12 0.0%, 123 | ---,1600_0_0_|_0.0:0.0_0.0:0.0,
note,261.625566,A4+0.0,C4+0.0,3\12 0.0%, 12- | ---,576_0_0_|_0.0:0.0_0.0:0.0,
note,293.664769,B4+0.0,D4+0.0,5\12 0.0%, 1-- | ---,64_0_0_|_0.0:0.0_0.0:0.0,
note,311.126985,C5+0.0,Eb4+0.0,6\12 0.0%, -2- | ---,512_0_0_|_0.0:0.0_0.0:0.0,
note,349.228232,D5+0.0,F4+0.0,8\12 0.0%, o 123 | 456,168822337_0_0_|_0.0:0.0_0.0:0.0,
note,369.994423,Eb5+0.0,F#4+0.0,9\12 0.0%, o 123 | 456 Eb,437257793_0_0_|_0.0:0.0_0.0:0.0,
note,415.304698,F5+0.0,Ab4+0.0,11\12 0.0%, o 123 | 4--,1050177_0_0_|_0.0:0.0_0.0:0.0,
note,466.163762,G5+0.0,Bb4+0.0,1\12 0.0%, o 123 | ---,1601_0_0_|_0.0:0.0_0.0:0.0,
note,523.25113,A5+0.0,C5+0.0,3\12 -0.0%, o 12- | ---,577_0_0_|_0.0:0.0_0.0:0.0,
note,587.329536,B5+0.0,D5+0.0,5\12 0.0%, o 1-- | ---,65_0_0_|_0.0:0.0_0.0:0.0,
note,622.253968,C6+0.0,Eb5+0.0,6\12 0.0%, o 1-- | C ---,131137_0_0_|_0.0:0.0_0.0:0.0,
