clarinet-in-bb-bmelmin-scale-2octs.csv
Instrument: Clarinet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,219.999999,B3+0.0,A3+0.0,0\12 -0.0%, T 123 | -5-,1048914_0_0_|_0.0:0.0_0.0:0.0,
note,246.94165,C#4+0.0,B3+0.0,2\12 -0.0%, T 123 C# | ---,850_0_0_|_0.0:0.0_0.0:0.0,
note,261.625564,D4+0.0,C4+0.0,3\12 -0.0%, T 12- | ---,82_0_0_|_0.0:0.0_0.0:0.0,
note,293.664767,E4+0.0,D4+0.0,5\12 -0.0%, T 1-- | ---,18_0_0_|_0.0:0.0_0.0:0.0,
note,329.627557,F#4+0.0,E4+0.0,7\12 0.0%, 1-- | ---,16_0_0_|_0.0:0.0_0.0:0.0,
note,369.994422,Ab4+0.0,F#4+0.0,9\12 -0.0%, G# --- | ---,4_0_0_|_0.0:0.0_0.0:0.0,
note,415.304697,Bb4+0.0,Ab4+0.0,11\12 -0.0%, R A --- | ---,9_0_0_|_0.0:0.0_0.0:0.0,
note,440.0,B4+0.0,A4+0.0,0\12 0.0%, R T 123 E | 456,5771603_0_0_|_0.0:0.0_0.0:0.0,
note,493.8833,C#5+0.0,B4+0.0,2\12 -0.0%, R T 123 | 456 F#,39321939_0_0_|_0.0:0.0_0.0:0.0,
note,523.251129,D5+0.0,C5+0.0,3\12 -0.0%, R T 123 | 456,5767507_0_0_|_0.0:0.0_0.0:0.0,
note,587.329534,E5+0.0,D5+0.0,5\12 -0.0%, R T 123 | 45-,1573203_0_0_|_0.0:0.0_0.0:0.0,
note,659.255112,F#5+0.0,E5+0.0,7\12 -0.0%, R T 123 | -5-,1048915_0_0_|_0.0:0.0_0.0:0.0,
note,739.988844,Ab5+0.0,F#5+0.0,9\12 -0.0%, R T 123 C# | ---,851_0_0_|_0.0:0.0_0.0:0.0,
note,830.609394,Bb5+0.0,Ab5+0.0,11\12 -0.0%, R T 12- | eb ---,131155_0_0_|_0.0:0.0_0.0:0.0,
note,879.999998,B5+0.0,A5+0.0,0\12 -0.0%, R T 1-- | ---,19_0_0_|_0.0:0.0_0.0:0.0,
